,0,1
108,https://finance.naver.com//news/news_read.naver?article_id=0002524898&office_id=015&mode=search&query=케티&page=6,"HMC증권, IB업무 MOU"
109,https://finance.naver.com//news/news_read.naver?article_id=0002078939&office_id=029&mode=search&query=케티&page=6,"HMC투자증권, 케티파트너스와 양해각서 체결"
110,https://finance.naver.com//news/news_read.naver?article_id=0002494930&office_id=014&mode=search&query=케티&page=6,"HMC투자증권, 케티파트너스와 IB업무 MOU 체결"
111,https://finance.naver.com//news/news_read.naver?article_id=0000195187&office_id=215&mode=search&query=케티&page=6,"서울시, SIBAC 총회서 '인구고령화와 지속적 경제성장' 해법 모색"
112,https://finance.naver.com//news/news_read.naver?article_id=0003294013&office_id=009&mode=search&query=케티&page=6,"[김인수 기자의 사람이니까 경영이다] 보스를 내 편으로 만드는 법, 조언을 구하라"
113,https://finance.naver.com//news/news_read.naver?article_id=0003089025&office_id=015&mode=search&query=케티&page=6,[맞짱 토론] 피케티의 주장 설득력 있나
114,https://finance.naver.com//news/news_read.naver?article_id=0000131068&office_id=375&mode=search&query=케티&page=6,글로벌증시 투심 위축…美기업 실적으로 숨통?
115,https://finance.naver.com//news/news_read.naver?article_id=0002450365&office_id=020&mode=search&query=케티&page=6,"[Viva, 바캉스]두바이·사파리에서 즐기는 환상적인 휴가"
116,https://finance.naver.com//news/news_read.naver?article_id=0002935782&office_id=009&mode=search&query=케티&page=6,"獨 ""당장 내코가 석자"" ECB 금리인하 시사"
117,https://finance.naver.com//news/news_read.naver?article_id=0002857215&office_id=009&mode=search&query=케티&page=6,"[크리스마스 선물] 몰스킨, 고흐·헤밍웨이처럼…읽고 쓰고 여행하다"
118,https://finance.naver.com//news/news_read.naver?article_id=0002157644&office_id=030&mode=search&query=케티&page=6,[새해 새설계-공공기관이 함께 뛴다]1.최평락 전자부품연구원(KETI) 원장
119,https://finance.naver.com//news/news_read.naver?article_id=0002145910&office_id=030&mode=search&query=케티&page=6,"전자신문-전자부품연구원-케티파트너스, 산업인력 양성 MOU체결"
120,https://finance.naver.com//news/news_read.naver?article_id=0002092452&office_id=004&mode=search&query=케티&page=7,"HMC투자증권·케티파트너스, IB업무 MOU 체결"
121,https://finance.naver.com//news/news_read.naver?article_id=0002481178&office_id=018&mode=search&query=케티&page=7,"HMC투자證, 케티파트너스와 IB업무 MOU"
122,https://finance.naver.com//news/news_read.naver?article_id=0002128643&office_id=030&mode=search&query=케티&page=7,"부품연, 꿈나무 육성 스마트 아카데미 운영"
123,https://finance.naver.com//news/news_read.naver?article_id=0002000456&office_id=013&mode=search&query=케티&page=7,[국제상품시황] '원유.곡물↑..금.구리↓등 혼조
124,https://finance.naver.com//news/news_read.naver?article_id=0002000418&office_id=013&mode=search&query=케티&page=7,[뉴욕 금가격] 증시.유가 하락으로 떨어져
125,https://finance.naver.com//news/news_read.naver?article_id=0001983431&office_id=112&mode=search&query=케티&page=7,伊 마피아 두목 알고보니 트랜스젠더
126,https://finance.naver.com//news/news_read.naver?article_id=0002013616&office_id=018&mode=search&query=케티&page=7,(뉴욕전망대)폭풍우가 지나간 자리
127,https://finance.naver.com//news/news_read.naver?article_id=0001994543&office_id=014&mode=search&query=케티&page=7,"예술의 전당 화재, 공연취소 기획사 9억대 손배소"
128,https://finance.naver.com//news/news_read.naver?article_id=0002127698&office_id=030&mode=search&query=케티&page=7,"KETI, 자회사 설립해 중소 기업 사업화 촉진"
129,https://finance.naver.com//news/news_read.naver?article_id=0002231329&office_id=020&mode=search&query=케티&page=7,브릭스 5개국 反달러 선언
130,https://finance.naver.com//news/news_read.naver?article_id=0002177778&office_id=112&mode=search&query=케티&page=7,女 살해 후 인피가죽 입은 ‘엽기 연쇄살인범’
131,https://finance.naver.com//news/news_read.naver?article_id=0002359428&office_id=009&mode=search&query=케티&page=7,[장외주식 시황] 세메스 강세 이어지며 최초로 20만원 돌파
132,https://finance.naver.com//news/news_read.naver?article_id=0002357866&office_id=009&mode=search&query=케티&page=7,[장외주식 시황] 삼성 관련 주 강세
133,https://finance.naver.com//news/news_read.naver?article_id=0002378930&office_id=008&mode=search&query=케티&page=7,"크라이슬러, 전기차배터리 업체선정 임박…혹시?"
134,https://finance.naver.com//news/news_read.naver?article_id=0002146718&office_id=020&mode=search&query=케티&page=7,"[BIZ WINE]‘카베르네 프랑’으로 빚은 와인, 여름에 인기 왜?"
135,https://finance.naver.com//news/news_read.naver?article_id=0002286744&office_id=277&mode=search&query=케티&page=7,"유럽 노선이 60만원대, 아프리카는 80만원대"
136,https://finance.naver.com//news/news_read.naver?article_id=0002173925&office_id=018&mode=search&query=케티&page=7,양키본드 발행 급증..`弱달러 장기화` 반영
137,https://finance.naver.com//news/news_read.naver?article_id=0002141616&office_id=008&mode=search&query=케티&page=7,[사진]세상에 단 1대뿐인 'Mini'
138,https://finance.naver.com//news/news_read.naver?article_id=0002013433&office_id=018&mode=search&query=케티&page=7,`구스타브`에 울고웃는 월街..안도랠리 가능성은
139,https://finance.naver.com//news/news_read.naver?article_id=0001995818&office_id=018&mode=search&query=케티&page=7,"美증시 고개드는 `바닥론`...""반갑다 곰!"""
140,https://finance.naver.com//news/news_read.naver?article_id=0000257518&office_id=016&mode=search&query=케티&page=8,유통ㆍ의류 “소비자 고감도 감성을 깨워라”
141,https://finance.naver.com//news/news_read.naver?article_id=0000359405&office_id=014&mode=search&query=케티&page=8,GS25，상품에 문화 콘텐츠 담아 판매
142,https://finance.naver.com//news/news_read.naver?article_id=0000018792&office_id=277&mode=search&query=케티&page=8,"GS25, 남양유업과 문화 콘텐츠 공동 마케팅"
143,https://finance.naver.com//news/news_read.naver?article_id=0001005600&office_id=015&mode=search&query=케티&page=8,"카프코, 3억 공연 투자계약"
144,https://finance.naver.com//news/news_read.naver?article_id=0000843859&office_id=008&mode=search&query=케티&page=8,"키이스트, 공연사업진출…'브라케티쇼' 亞공연"
145,https://finance.naver.com//news/news_read.naver?article_id=0000585271&office_id=009&mode=search&query=케티&page=8,칵테일파티 즐기는 주총…한국과 달라
